日文,中文
祥,祥
称,称
章,章
笑,笑
粧,妆
紹,绍
肖,肖
菖,菖
蒋,蒋
蕉,蕉
衝,冲
裳,裳
訟,讼
証,证
詔,诏
詳,详
象,象
賞,赏
醤,醤
鉦,钲
鍾,锺
鐘,钟
障,障
鞘,鞘
上,上
丈,丈
丞,丞
乗,乘
冗,冗
剰,剩
城,城
場,场
壌,壤
嬢,娘
常,常
情,情
擾,扰
条,条
杖,杖
浄,净
状,状
畳,叠
穣,穣
蒸,蒸
譲,让
醸,酿
錠,锭
嘱,嘱
埴,埴
飾,饰
拭,拭
植,植
殖,殖
燭,烛
織,织
職,职
色,色
触,触
食,食
蝕,蚀
辱,辱
尻,尻
伸,伸
信,信
侵,侵
唇,唇
娠,娠
寝,寝
審,审
心,心
慎,慎
振,振
新,新
晋,晋
森,森
榛,榛
浸,浸
深,深
申,申
疹,疹
真,真
神,神
秦,秦
紳,绅
臣,臣
芯,芯
薪,薪
親,亲
診,诊
身,身
辛,辛
進,进
針,针
震,震
人,人
仁,仁
刃,刃
塵,尘
壬,壬
尋,寻
甚,甚
尽,尽
腎,肾
訊,讯
迅,迅
陣,阵
靭,靭
笥,笥
諏,诹
須,须
酢,酢
図,图
厨,厨
逗,逗
吹,吹
垂,垂
帥,帅
推,推
水,水
炊,炊
睡,睡
粋,粹
翠,翠
衰,衰
遂,遂
酔,醉
錐,锥
錘,锤
随,随
瑞,瑞
髄,髓
崇,崇
嵩,嵩
数,数
枢,枢
趨,趋
雛,雏
据,据
杉,杉
椙,椙
菅,菅
頗,颇
雀,雀
裾,裾
澄,澄
摺,折
寸,寸
世,世
瀬,濑
畝,亩
是,是
凄,凄
制,制
勢,势
姓,姓
征,征
性,性
成,成
政,政
整,整
星,星
晴,晴
棲,栖
栖,栖
正,正
清,清
牲,牲
生,生
盛,盛
精,精
聖,圣
声,声
製,制
西,西
誠,诚
誓,誓
請,请
逝,逝
醒,醒
青,青
静,静
斉,齐
税,税
脆,脆
隻,只
席,席
惜,惜
戚,戚
斥,斥
昔,昔
析,析
石,石
積,积
籍,籍
績,绩
脊,脊
責,责
赤,赤
跡,迹
蹟,蹟
碩,硕
切,切
拙,拙
接,接
摂,摄
折,折
設,设
窃,窃
節,节
説,说
雪,雪
絶,绝
舌,舌
蝉,蝉
仙,仙
先,先
千,千
占,占
宣,宣
専,专
尖,尖
川,川
戦,战
扇,扇
撰,撰
栓,栓
栴,栴
泉,泉
浅,浅
洗,洗
染,染
潜,潜
煎,煎
煽,煽
旋,旋
穿,穿
箭,箭
線,缐
繊,纤
羨,羨
腺,腺
舛,舛
船,船
薦,荐
詮,诠
賎,賎
践,践
選,选
遷,迁
銭,钱
銑,铣
閃,闪
鮮,鲜
前,前
善,善
漸,渐
然,然
全,全
禅,禅
繕,缮
膳,膳
糎,糎
噌,噌
塑,塑
岨,岨
措,措
曾,曾
曽,曽
楚,楚
狙,狙
疏,疏
疎,疏
礎,础
祖,祖
租,租
粗,粗
素,素
組,组
蘇,苏
訴,诉
阻,阻
遡,遡
鼠,鼠
僧,僧
創,创
双,双
叢,丛
倉,仓
喪,丧
壮,壮
奏,奏
爽,爽
宋,宋
層,层
匝,匝
惣,惣
想,想
捜,搜
掃,扫
挿,插
掻,掻
操,操
早,早
曹,曹
巣,巢
槍,枪
槽,槽
漕,漕
燥,燥
争,争
痩,痩
相,相
窓,窗
糟,糟
総,总
綜,综
聡,聡
草,草
荘,庄
葬,葬
蒼,苍
藻,藻
装,装
走,走
送,送
遭,遭
鎗,鎗
霜,霜
騒,骚
像,像
増,增
憎,憎
臓,脏
蔵,藏
贈,赠
造,造
促,促
側,侧
則,则
即,即
息,息
捉,捉
束,束
測,测
足,足
速,速
俗,俗
属,属
賊,贼
族,族
続,续
卒,卒
袖,袖
其,其
揃,揃
存,存
孫,孙
尊,尊
損,损
村,村
遜,逊
他,他
多,多
太,太
汰,汰
詑,詑
唾,唾
堕,堕
妥,妥
惰,惰
打,打
柁,柁
舵,舵
楕,楕
陀,陀
駄,驮
騨,騨
体,体
堆,堆
対,对
耐,耐
岱,岱
帯,带
待,待
怠,怠
態,态
戴,戴
替,替
泰,泰
滞,滞
胎,胎
腿,腿
苔,苔
袋,袋
貸,贷
退,退
逮,逮
隊,队
黛,黛
鯛,鲷
代,代
台,台
大,大
第,第
醍,醍
題,题
鷹,鹰
滝,泷
瀧,泷
卓,卓
啄,啄
宅,宅
托,托
択,择
拓,拓
沢,泽
濯,濯
琢,琢
託,讬
鐸,铎
濁,浊
諾,诺
茸,茸
凧,凧
蛸,蛸
只,只
叩,叩
但,但
達,达
辰,辰
奪,夺
脱,脱
巽,巽
竪,竖
辿,辿
棚,棚
谷,谷
狸,狸
鱈,鳕
樽,樽
誰,谁
丹,丹
単,单
嘆,叹
坦,坦
担,担
探,探
旦,旦
歎,叹
淡,淡
湛,湛
炭,炭
短,短
端,端
箪,箪
綻,绽
耽,耽
胆,胆
蛋,蛋
誕,诞
鍛,锻
団,团
壇,坛
弾,弹
断,断
暖,暖
檀,檀
段,段
男,男
談,谈
値,值
知,知
地,地
弛,弛
恥,耻
智,智
池,池
痴,痴
稚,稚
置,置
致,致
蜘,蜘
遅,迟
馳,驰
築,筑
畜,畜
竹,竹
筑,筑
蓄,蓄
逐,逐
秩,秩
窒,窒
茶,茶
嫡,嫡
着,着
中,中
仲,仲
宙,宙
忠,忠
抽,抽
昼,昼
柱,柱
注,注
虫,虫
衷,衷
註,注
酎,酎
鋳,铸
駐,驻
樗,樗
瀦,潴
猪,猪
苧,苎
著,着
貯,贮
丁,丁
兆,兆
凋,凋
喋,喋
寵,宠
帖,帖
帳,帐
庁,厅
弔,吊
張,张
彫,雕
徴,徵
懲,惩
挑,挑
暢,畅
朝,朝
潮,潮
牒,牒
町,町
眺,眺
聴,听
脹,胀
腸,肠
蝶,蝶
調,调
諜,谍
超,超
跳,跳
銚,铫
長,长
頂,顶
鳥,鸟
勅,敕
捗,捗
直,直
朕,朕
沈,沈
珍,珍
賃,赁
鎮,镇
陳,陈
津,津
墜,坠
椎,椎
槌,槌
追,追
鎚,锤
痛,痛
通,通
塚,冢
栂,栂
掴,掴
槻,槻
佃,佃
漬,渍
柘,柘
辻,辻
蔦,茑
綴,缀
鍔,锷
椿,椿
潰,溃
坪,坪
壷,壷
嬬,嬬
紬,䌷
爪,爪
吊,吊
釣,钓
鶴,鹤
亭,亭
低,低
停,停
偵,侦
剃,剃
貞,贞
呈,呈
堤,堤
定,定
帝,帝
底,底
庭,庭
廷,廷
弟,弟
悌,悌
抵,抵
挺,挺
提,提
梯,梯
汀,汀
碇,碇
禎,祯
程,程
締,缔
艇,艇
訂,订
諦,谛
蹄,蹄
逓,递
邸,邸
鄭,郑
釘,钉
鼎,鼎
泥,泥
摘,摘
擢,擢
敵,敌
滴,滴
的,的
笛,笛
適,适
鏑,镝
溺,溺
哲,哲
徹,彻
撤,撤
轍,辙
迭,迭
鉄,铁
典,典
填,填
天,天
展,展
店,店
添,添
纏,缠
甜,甜
貼,贴
転,转
顛,颠
点,点
伝,传
殿,殿
澱,淀
田,田
電,电
兎,兎
吐,吐
堵,堵
塗,涂
妬,妬
屠,屠
徒,徒
斗,斗
杜,杜
渡,渡
登,登
菟,菟
賭,赌
途,途
都,都
鍍,镀
砥,砥
砺,砺
努,努
度,度
土,土
奴,奴
怒,怒
倒,倒
党,党
冬,冬
凍,冻
刀,刀
唐,唐
塔,塔
塘,塘
套,套
宕,宕
島,岛
嶋,嶋
悼,悼
投,投
搭,搭
東,东
桃,桃
梼,梼
棟,栋
盗,盗
淘,淘
湯,汤
涛,涛
灯,灯
燈,灯
当,当
痘,痘
祷,祷
等,等
答,答
筒,筒
糖,糖
統,统
到,到
董,董
蕩,荡
藤,藤
討,讨
謄,誊
豆,豆
踏,踏
逃,逃
透,透
鐙,镫
陶,陶
頭,头
騰,腾
闘,斗
働,働
動,动
同,同
堂,堂
導,导
憧,憧
撞,撞
洞,洞
瞳,瞳
童,童
胴,胴
萄,萄
道,道
銅,铜
峠,峠
鴇,鸨
匿,匿
得,得
徳,德
涜,涜
特,特
督,督
禿,秃
篤,笃
毒,毒
独,独
読,读
栃,栃
橡,橡
凸,凸
突,突
椴,椴
届,届
鳶,鸢
苫,苫
寅,寅
酉,酉
瀞,瀞
噸,吨
屯,屯
惇,惇
敦,敦
沌,沌
豚,豚
遁,遁
頓,顿
呑,呑
曇,昙
鈍,钝
奈,奈
那,那
内,内
乍,乍
凪,凪
薙,薙
謎,谜
灘,滩
捺,捺
鍋,锅
楢,楢
馴,驯
縄,绳
畷,畷
南,南
楠,楠
軟,软
難,难
汝,汝
二,二
尼,尼
弐,贰
迩,迩
匂,匂
賑,赈
肉,肉
虹,虹
廿,廿
日,日
乳,乳
入,入
如,如
尿,尿
韮,韮
任,任
妊,妊
忍,忍
認,认
濡,濡
禰,祢
祢,祢
寧,宁
葱,葱
猫,猫
熱,热
年,年
念,念
捻,捻
撚,撚
燃,燃
粘,粘
乃,乃
廼,廼
之,之
埜,埜
嚢,嚢
悩,恼
濃,浓
納,纳
能,能
脳,脑
膿,脓
農,农
覗,覗
蚤,蚤
巴,巴
把,把
播,播
覇,霸
杷,杷
波,波
派,派
琶,琶
破,破
婆,婆
罵,骂
芭,芭
馬,马
俳,俳
廃,废
拝,拜
排,排
敗,败
杯,杯
盃,杯
牌,牌
背,背
肺,肺
輩,辈
配,配
倍,倍
培,培
媒,媒
梅,梅
楳,楳
煤,煤
狽,狈
買,买
売,卖
賠,赔
陪,陪
這,这
蝿,蝿
秤,秤
矧,矧
萩,萩
伯,伯
剥,剥
博,博
拍,拍
柏,柏
泊,泊
白,白
箔,箔
粕,粕
舶,舶
薄,薄
迫,迫
曝,曝
漠,漠
爆,爆
縛,缚
莫,莫
駁,驳
麦,麦
函,函
箱,箱
硲,硲
箸,箸
肇,肇
筈,筈
櫨,栌
幡,幡
肌,肌
畑,畑
畠,畠
八,八
鉢,钵
溌,溌
発,发
醗,醗
髪,发
伐,伐
罰,罚
抜,拔
筏,筏
閥,阀
鳩,鸠
噺,噺
塙,塙
蛤,蛤
隼,隼
伴,伴
判,判
半,半
反,反
叛,叛
帆,帆
搬,搬
斑,斑
板,板
氾,氾
汎,汎
版,版
犯,犯
班,班
畔,畔
繁,繁
般,般
藩,藩
販,贩
範,范
釆,釆
煩,烦
頒,颁
飯,饭
挽,挽
晩,晚
番,番
盤,盘
磐,磐
蕃,蕃
蛮,蛮
匪,匪
卑,卑
否,否
妃,妃
庇,庇
彼,彼
悲,悲
扉,扉
批,批
披,披
斐,斐
比,比
泌,泌
疲,疲
皮,皮
碑,碑
秘,秘
緋,绯
罷,罢
肥,肥
被,被
誹,诽
費,费
避,避
非,非
飛,飞
樋,樋
簸,簸
備,备
尾,尾
微,微
枇,枇
毘,毘
琵,琵
眉,眉
美,美
鼻,鼻
柊,柊
稗,稗
匹,匹
疋,疋
髭,髭
彦,彦
膝,膝
菱,菱
肘,肘
弼,弼
必,必
畢,毕
筆,笔
逼,逼
桧,桧
姫,姬
媛,媛
紐,纽
百,百
謬,谬
俵,俵
彪,彪
標,标
氷,冰
漂,漂
瓢,瓢
票,票
表,表
評,评
豹,豹
廟,庙
描,描
病,病
秒,秒
苗,苗
錨,锚
鋲,鋲
蒜,蒜
蛭,蛭
鰭,鳍
品,品
彬,彬
斌,斌
浜,浜
瀕,濒
貧,贫
